name,url
Thomas Moore Statue,https://en.wikipedia.org/wiki/Thomas_Moore
William Smith O'Brien Statue,https://en.wikipedia.org/wiki/William_Smith_O%27Brien
Sir John Gray Statue,https://en.wikipedia.org/wiki/John_Gray_(Irish_politician)
Henry Grattan Statue,https://en.wikipedia.org/wiki/Henry_Grattan
The O'Connell Monument Statue,https://en.wikipedia.org/wiki/Daniel_O%27Connell
Fr Theobald Matthew Statue,https://en.wikipedia.org/wiki/Father_Mathew
Parnell Monument,https://en.wikipedia.org/wiki/Charles_Stewart_Parnell
W B Yeats Statue,https://en.wikipedia.org/wiki/W._B._Yeats
Sean Russell Statue,https://en.wikipedia.org/wiki/Se%C3%A1n_Russell
Henry Grattan Statue,https://en.wikipedia.org/wiki/Henry_Grattan
John Field Memorial,https://en.wikipedia.org/wiki/John_Field_(composer)
Matt Talbot Memorial,https://en.wikipedia.org/wiki/Matt_Talbot
James Joyce Statue,https://en.wikipedia.org/wiki/James_Joyce
Michael Collins Bust,https://en.wikipedia.org/wiki/Michael_Collins_(Irish_leader)
Patrick Kavanagh Statue,https://en.wikipedia.org/wiki/Patrick_Kavanagh
Bernardo O'Higgins Statue,https://en.wikipedia.org/wiki/Bernardo_O%27Higgins
Oscar Wilde Statue,https://en.wikipedia.org/wiki/Oscar_Wilde
Countess Markievicz Statue,https://en.wikipedia.org/wiki/Constance_Markievicz
Philip Lynott Statue,https://en.wikipedia.org/wiki/Phil_Lynott
Admiral Brown Statue,https://en.wikipedia.org/wiki/William_Brown_(admiral)
Richard Crosbie Statue,https://en.wikipedia.org/wiki/Richard_Crosbie
Luke Kelly Statue,https://en.wikipedia.org/wiki/Luke_Kelly
Luke Kelly Statue,https://en.wikipedia.org/wiki/Luke_Kelly
Liam Mellows Statue,https://en.wikipedia.org/wiki/Liam_Mellows